channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,task_evoked,n_sessions_task_evoked,stable
106,A4,9,-0.00047568884303701015,0.017104174699212653,0.6666666666666666,6,-0.1761338450690523,0.32545207476162996,0.08909809417545762,0.21452919583170538,False,5,False
107,A4,9,0.04772677835063539,0.07262819571344545,0.5555555555555556,5,0.06742297216771119,0.4749156064570854,0.33229208284862854,0.5387193303244457,False,5,False
108,A4,9,0.009951108506745542,0.002611503730886602,0.8888888888888888,8,-0.2927258317246452,0.3925214198704657,0.04314653857199546,0.269815149548344,False,3,False
109,A4,9,0.06481574017970235,0.05740174681052129,0.8888888888888888,8,-0.47527331422701313,0.439601309767058,0.16130419752774888,0.7348824349312706,False,5,False
110,A4,9,-0.009675788677553317,0.03482139954942651,0.5555555555555556,5,-0.10192322123213858,0.5765233920308576,0.49015900631273684,0.6155094733217639,False,3,False
111,A4,9,0.048153929754348485,0.08641816527730185,0.6666666666666666,6,-0.08786441091626522,0.09350166241259598,0.09299659944884385,0.10636875857297529,False,5,False
112,A4,9,-0.03749664931587914,0.003626018111659204,0.5555555555555556,5,0.0794587825455389,0.371883878441969,0.07862022987938419,0.26870046439879036,False,5,False
113,A4,9,0.24253311965494856,0.2521229685899251,0.6666666666666666,6,0.14635271857773843,0.3853454707709195,0.25533978164993887,0.4093216755229813,False,7,False
114,A4,9,0.037990541015589435,0.05186794388011874,0.7777777777777778,7,-0.15151563819771457,0.2412886126317805,0.08905241550426062,0.1486053455489615,False,5,False
115,A4,9,0.06301152273286417,0.10797384256731483,0.5555555555555556,5,-0.10336904186663433,0.5125612826677354,0.32127080206586633,0.6087440888456856,False,7,False
116,A4,9,0.021564995544104217,0.08700437392323515,0.5555555555555556,5,-0.06896532917923283,0.39150537578252764,0.17350003339491663,0.4348313071513625,False,5,False
117,A4,9,0.14331820725130434,0.21082576447203388,0.8888888888888888,8,-0.24527088633476735,0.323563628064431,0.11545780317621636,0.14992554782498213,False,7,False
118,A4,9,0.007668632329379469,0.2743885748871637,0.7777777777777778,7,-0.41806212144825056,0.38611972519518056,0.3674618861197012,0.48147769626661957,False,5,False
119,A4,9,0.05353437807971626,0.16023150409013048,0.6666666666666666,6,-0.20512159268153557,0.5730446049240594,0.21339945197436955,0.7322945652300114,False,7,False
120,A4,9,0.1185412959659107,0.1633842743992588,0.5555555555555556,5,0.07251976479400321,0.3974538496492941,0.24671779410826802,0.3658809281066119,False,6,False
121,A4,9,0.04070660913063113,0.07900218997692035,0.5555555555555556,5,-0.19821431562070801,0.47173016999040024,0.18427130705734956,0.5392357269666266,False,5,False
122,A4,9,0.11837371161085658,0.17944258062663243,0.6666666666666666,6,-0.038289488928732934,0.24255561257644248,0.1724976669951474,0.2480670002865819,False,5,False
123,A4,9,-0.007330670461276471,0.0788193758670684,0.6666666666666666,6,-0.24151772400221422,0.361005892634284,0.13292675843915625,0.35607576738369606,False,5,False
124,A4,9,0.005947498313133864,0.020617292053595426,0.6666666666666666,6,0.021793766548488094,0.41656390213590994,0.22645331580171169,0.402852597709735,False,5,False
125,A4,9,0.06317470026055878,0.2078353608644046,0.5555555555555556,5,0.08261774103194887,0.5161030416880584,0.35337469183330694,0.5786245878067724,False,5,False
126,A4,9,0.09747031988792951,0.059106089649266516,0.5555555555555556,5,-0.28079400414516836,0.38565279393804774,0.11548545394321319,0.43922814860684134,False,5,False
127,A4,9,0.024796384391542112,0.11610136128006673,0.5555555555555556,5,0.13551002762025358,0.3553487125783856,0.2160748572440332,0.39931646812783295,False,5,False
128,A4,9,0.0845860510627954,0.06703511460058285,0.5555555555555556,5,-0.07214299153330654,0.39022005565419365,0.12414129971310113,0.4134077693191446,False,5,False
129,A5,8,-0.017205851595960202,-0.01817085030432084,0.625,5,-0.3614695319465079,0.4989568243456967,0.12857793072970697,0.8984974311409332,False,2,False
130,A5,8,-0.030917414109679298,-0.031989311280589836,0.875,7,-0.2684060905496623,0.35135320063358205,0.23193945068543018,0.37775329990815104,False,4,False
131,A5,8,0.07594451632098075,0.0665534116018757,0.75,6,-0.29334051706675796,0.41809557017077137,0.13248438472176716,0.249924318188387,False,3,False
132,A5,8,-0.02003505572030518,0.0032082014531407705,0.625,5,-0.27241034644865525,0.5033003895845455,0.3164844205790322,0.6139990500228041,False,4,False
133,A5,8,0.04097305629297595,0.04473969618883747,0.5,4,-0.11906714972410157,0.7998956310835332,0.8591035373581585,1.1907121936819696,False,6,False
134,A5,8,0.11100339657883847,0.06555273316138606,0.625,5,-0.12163156597162492,0.5783348336734133,0.4081752422022963,0.6015090275699817,False,5,False
135,A5,8,0.0660700096555136,0.06896896897020155,0.625,5,-0.3716420821062416,0.697875144590734,1.0,0.9862689128546124,False,7,False
136,A5,8,0.011681505080164023,0.030919945837963765,0.75,6,0.40975221592073646,0.5233880376627665,0.4426252931704399,0.6738500042987812,False,6,False
137,A5,8,-0.021332267253088948,-0.018299710928871307,0.625,5,-0.19960420060932482,0.4684770781314814,0.3813010187230952,0.5428792631175252,False,4,False
138,A5,8,0.027677349748984403,0.01860890951169553,0.875,7,-0.18901639473558995,0.5915531551557628,0.19374885443991102,0.8528387639788222,False,0,False
139,A5,8,0.04224306124578793,0.04903670251771062,0.625,5,-0.06382246551248937,0.18322504733300943,0.13943935094469756,0.21649018682188859,False,1,False
140,A5,8,0.043890483537926635,0.027722772649204034,0.75,6,-0.26138001802341926,0.37461450768913995,0.14298106623655932,0.2637502237319743,False,0,False
141,A5,8,0.05932095850475306,-0.03777517117026606,0.625,5,-0.1909313172563572,0.3733922542959348,0.03682079537373184,0.09406336804372403,False,4,False
142,A5,8,0.09271959236359216,0.041469736507908236,0.75,6,-0.0210775231484896,0.06797214920904915,0.050791058789821986,0.07008094626614521,False,4,False
143,A5,8,-0.006295431018355344,0.003704614505016373,0.625,5,-0.07200728630189472,0.3666201774695314,0.11073195382244887,0.18330364433537732,False,2,False
144,A5,8,0.03939173816066827,0.012626847226789839,0.75,6,-0.1623050489637919,0.3301358834692965,0.10190669442144426,0.14609274678234618,False,0,False
145,A5,8,0.1925824959901109,0.10808858172701473,0.625,5,0.08626087168539773,0.2173498451891597,0.16597282018887355,0.24771073283850228,False,6,False
146,A5,8,0.010451626262002576,0.02095005474569552,0.875,7,-0.3550305080277454,0.46667507000268177,0.30269628535970244,0.6033397885458157,False,2,False
147,A5,8,0.04250572547038899,0.053343790657590456,0.875,7,-0.1291661844874099,0.45490938903975275,0.32413188000026005,0.26850373461334043,False,4,False
148,A5,8,0.0053012588886012044,0.015311966190795957,0.875,7,-0.18101281795498944,0.3345500223907615,0.12466947709362369,0.21652629816540886,False,0,False
149,A5,8,-0.04402142054310113,-0.00972469307815433,0.5,4,0.056912376904816195,0.5407065555578385,0.32456978990063934,0.6423737878603184,False,1,False
150,A5,8,0.09173565374701617,0.06532848035401032,0.5,4,-0.07327009105262176,0.33099355644941414,0.15010446466305932,0.2699020084820115,False,2,False
151,A5,8,0.06015502610097964,0.06428393631011278,0.75,6,-0.1474157038248398,0.38067618086738586,0.16497813784236715,0.2173832517636874,False,3,False
152,A5,8,-0.010997767196236402,0.036978448120590826,0.5,4,-0.12899215113719525,0.3635621766962457,0.17788316487265607,0.24819215281885143,False,4,False
153,A5,8,-0.016519056355055985,-0.024548228528388488,0.875,7,-0.4736136265475639,0.43314556719995895,0.35643796495270774,0.5618503474011143,False,4,False
154,A5,8,0.13662054650430588,0.10146383177542725,0.75,6,-0.2453063422202689,0.6072929823597104,0.4374282980154437,0.6239984048306615,False,4,False
155,A5,8,0.09014942024384417,0.029149848842758192,0.5,4,-0.1283520286120468,0.5772495963716423,0.19251321423699744,0.8396494021467322,False,2,False
156,A5,8,-0.03267488545873665,-0.004924548311912401,0.875,7,0.08082652141798038,0.13765302698180462,0.029704078723865435,0.050000912960545166,False,1,False
157,A5,8,0.020994976305806306,0.015359332899139466,0.5,4,-0.23651363131538325,0.4968954526406715,0.256766647810342,0.5082297875594126,False,1,False
158,A5,8,0.07167294933804491,0.06225067000621641,1.0,8,-0.291596773565676,0.26428512759866546,0.18262817315973245,0.17270815211501084,False,1,False
159,A5,8,0.017157489927697847,0.025693233410920547,0.75,6,-0.1649266166784365,0.2625440793322514,0.10838867438815544,0.19038166401933465,False,2,False
160,A5,8,-0.0505139112079265,0.001798166064596734,0.5,4,0.0015462334763561153,0.47486904875516617,0.14784550229044566,0.5530274919023628,False,2,False
