channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,stable,tuned_stable_rank
95,A3,10,0.6929491560860175,0.5263028485949754,0.5,5,-0.2852962960049027,0.49094328206136584,0.21347824708704266,0.4988180399157296,False,
96,A3,7,-0.016591064682858772,0.053869486807672305,0.5714285714285714,4,-0.06843217853264914,0.4104520430558072,0.06408031861607988,0.33151901315052285,False,
97,A4,10,-0.007913583691629013,0.0016096409623623672,0.6,6,-0.13919889763693455,0.3638611906158372,0.18457292941333645,0.32593144283657666,False,
98,A4,10,0.1647267413458483,0.07833453763296287,0.5,5,-0.05999715909930671,0.3908816361352937,0.1430460347552268,0.37403207115664816,False,
99,A4,8,-0.0016072017623952979,0.01378557993630476,0.625,5,-0.14975924255675555,0.32511102362081984,0.06167307725604179,0.10337549304485982,False,
100,A4,10,0.014588467465230105,-0.00044237772053742837,0.8,8,0.2701265818976673,0.38590255654194155,0.19485037083396978,0.4588440900776646,False,
101,A4,10,0.01688457508553611,-0.0027911494879930923,0.6,6,0.09464302041297366,0.40776618676310133,0.12654892415319435,0.22563181116140885,False,
102,A4,9,-0.03397925512552105,0.0032539725031845526,0.5555555555555556,5,-0.0032378405630063296,0.4057772959531322,0.14726156830458548,0.3812154876883479,False,
103,A4,9,0.0037456014478749996,0.0010353262523015018,0.6666666666666666,6,-0.07398671849437514,0.42172921428966853,0.31765734635232035,0.4561638484789856,False,
104,A4,10,0.07412779823927762,0.01974343928193256,0.6,6,-0.1660225124463002,0.35870279066708616,0.1742396063036939,0.3389505605835987,False,
105,A4,9,0.314107197152131,0.24686404145868865,0.7777777777777778,7,-0.16678891552227967,0.2488130862787153,0.06975822851025212,0.15307256597543067,False,
106,A4,10,0.041906933321955726,-0.009531723913763777,0.5,5,-0.2722000630791389,0.6207235707600848,0.6101017394080435,0.7749279553027573,False,
107,A4,10,-0.019190300138141526,-0.0031031154247508482,0.5,5,0.03816213292346583,0.4261096429229233,0.2850729233314421,0.47822821927922177,False,
108,A4,10,-0.028889460435691152,-0.019931678064382088,0.5,5,0.04643275184491454,0.46078980567936695,0.30216546542412115,0.4918151989093269,False,
109,A4,10,-0.005619722728327796,0.02458049506312966,0.7,7,-0.07443625182548586,0.6948434856521452,0.6338918272004819,0.9042229592231662,False,
110,A4,10,0.0013925953822438103,0.0020746781089714273,0.6,6,0.00021265653156017777,0.656433935033641,0.36921432879656974,0.8919154196906623,False,
111,A4,10,-0.04705637875873129,-0.005697428722636305,0.6,6,-0.0493890870607188,0.40548172612193156,0.2131740810539971,0.3855848084345348,False,
112,A4,10,-0.02281611192944836,-0.0027790012402707604,0.6,6,0.12045638328529167,0.4559859117789364,0.14658126796860327,0.24192269532480257,False,
113,A4,5,0.019272154941567213,0.009865095207106152,0.8,4,-0.168294185291835,0.15880151360486391,0.10400046009347073,0.18906035364882295,False,
114,A4,10,0.11847297745339273,0.04173573471530144,0.7,7,-0.0828520953091366,0.34432390296097126,0.10453650132453722,0.25188593615844346,False,
115,A4,6,-0.017451343575853352,-0.0008129795147661663,0.6666666666666666,4,-0.08008221245371389,0.15806766177678475,0.12681674063173667,0.20323759296573207,False,
116,A4,9,0.04039788272632215,-0.002382047234185788,0.6666666666666666,6,-0.15856481166271127,0.5699989208173768,0.1755936944549571,0.7765462384647968,False,
117,A4,3,0.07866234693764561,0.009746232177421361,0.6666666666666666,2,-0.005511191454690122,0.6581339615708046,0.7468973860430039,0.9746185918906253,False,
118,A4,10,0.004836449218174539,-0.0011014704019766844,0.5,5,0.11800108262858885,0.32750131500865737,0.12623751596237642,0.22037071059297633,False,
119,A4,10,0.0417531255719346,0.017046688100147953,0.8,8,-0.10738925931213572,0.20063830310981795,0.20293718348126932,0.164033470028564,False,
120,A4,7,0.011829393025317162,0.00641518012065477,0.8571428571428571,6,-0.34964730886657447,0.32883104767564464,0.23205641205420713,0.35719341876610944,False,
121,A4,10,0.6208592108565034,0.5126898470464931,1.0,10,-0.4660344357676941,0.1888918389558421,0.46058731252696306,0.21303294613724036,True,10
122,A4,10,0.7423506872976879,0.6397108949750023,1.0,10,-0.7047143666061552,0.19713006864083973,0.6888476149257734,0.21814072827503783,True,4
123,A4,10,0.008235736936929068,0.00020622633994468262,0.8,8,-0.22854452011589327,0.5735790148412603,0.5539718596846517,0.5856245098491104,False,
124,A4,9,0.014487557747991804,0.0007843241900715541,0.6666666666666666,6,-0.17690784302563933,0.38468453435713923,0.16553958390153944,0.32729985915127924,False,
125,A4,10,-0.03143464874194032,-0.012373139890438999,0.6,6,0.15628407425911084,0.4636396064002425,0.1075398252479946,0.46158345201566076,False,
126,A4,10,0.0476878603237886,0.01828698019688285,0.7,7,-0.36643523998755406,0.4313926104696618,0.13504644700345697,0.4786033729607425,False,
127,A4,9,-0.02732580462427356,0.013811354089511894,0.6666666666666666,6,-0.07100485028604638,0.5188202050782015,0.19239502778521061,0.4766213751682637,False,
128,A4,7,0.012335645077579031,0.009465601435476095,1.0,7,-0.6151965450750045,0.3969283276416778,0.7780826828827578,0.6024598882436503,False,
129,A5,8,-0.006195852454522872,-0.0017871459352373378,0.75,6,-0.2596026556756973,0.6086303290137424,0.45211881534804443,0.6494146604710442,False,
130,A5,10,0.24947499406687593,0.20401436405506168,0.6,6,0.11331098641266771,0.5910056760331724,0.42951453543391593,0.715072337312282,False,
132,A5,9,-0.02174121580282215,0.0027244930509720267,0.5555555555555556,5,0.139109673978275,0.5015801658407235,0.11993488904939963,0.6457223373530458,False,
133,A5,10,0.08015771550671061,0.04527643128899575,0.6,6,-0.003054934672577847,0.5099545746381711,0.13292068848251673,0.49742458898397784,False,
134,A5,10,0.21391251011423817,0.16003577074038003,0.6,6,-0.1417195822908329,0.4188272777842622,0.15584719808678102,0.45211394348980605,False,
135,A5,10,0.06136334090249661,0.015304981384322696,1.0,10,-0.3733793101434769,0.2770247256592,0.3511649638796088,0.31988460971295546,False,
136,A5,10,0.10732322899226389,0.08496510870611185,0.6,6,-0.06531449409104177,0.6883720950288114,0.6025156184449573,0.7959077684132699,False,
137,A5,10,0.5056391787780149,0.40218824704078526,0.9,9,-0.30744444375327945,0.36987867063857244,0.17288135076953348,0.2865485772416505,True,
138,A5,10,0.34379750415337507,0.07900612394333803,0.8,8,-0.3308559218425374,0.5172569750673952,0.5168000248698172,0.6350001030896858,False,
139,A5,8,0.7603254063301259,0.697809606529844,1.0,8,-0.8715238773466375,0.13497375238088105,0.8979961100293565,0.136272885190871,True,2
140,A5,7,0.5719807116563914,0.34917755944221873,0.7142857142857143,5,0.226300581502234,0.3027054475122728,0.20460558573469365,0.3716238271858328,False,
141,A5,10,0.27484330430483844,0.22333836967331203,0.6,6,-0.07032910677419417,0.6592269420924964,0.3851699959829153,0.8495864949991729,False,
142,A5,10,0.3004814327552922,0.18860560945566146,0.8,8,-0.3831717799791702,0.444577890270196,0.3277739983175071,0.655362349591391,False,
143,A5,10,0.03742981390663444,0.011720868878641422,0.5,5,-0.10440448155103418,0.550068443202857,0.314005548195978,0.5759490822505912,False,
144,A5,9,-0.061437294043079495,-0.020890855200654274,0.5555555555555556,5,-0.09306813888744751,0.44473094952570547,0.09341043480962495,0.5301444660442203,False,
145,A5,10,0.04813956640744811,0.021845441401809954,0.7,7,-0.08027702957936127,0.15708974341416868,0.08152392822679169,0.10863225873918457,False,
146,A5,10,0.6114915255423035,0.53264723324399,1.0,10,-0.5245566334580427,0.29048421460931745,0.49438021309703084,0.3211445292595324,True,8
147,A5,10,0.42293745199217214,0.34030637089515653,0.7,7,0.352083046761877,0.5341522773625424,0.6363639248206653,0.6269002464363546,False,
148,A5,6,0.1868598063747062,0.23197708751709964,1.0,6,0.4589939979757817,0.30609143143133677,0.4432265044024011,0.3959589475956091,False,
149,A5,9,0.08732652523128753,0.024675817788096015,0.5555555555555556,5,0.05028063382624601,0.44468145885250426,0.21674570380710062,0.42507454145850054,False,
150,A5,10,-0.03059185728471722,-0.01685537133994639,0.5,5,0.022108482868888252,0.33474672683209905,0.07045330204440287,0.19634648978995356,False,
151,A5,10,-0.000716400690113916,0.0025903727439542017,0.8,8,-0.32560722014353355,0.45753929285050643,0.1658729268011524,0.39809617694555127,False,
152,A5,10,-0.023971861865722286,-0.012024533094595875,0.7,7,0.403560856923994,0.4879095222672262,0.4826280327435731,0.5211301147079865,False,
153,A5,10,0.4078410493712396,0.3782503156156251,1.0,10,0.24276633488537983,0.11791575257046764,0.24467403792751155,0.11165072468273202,False,
154,A5,7,0.025888328201992328,0.008309736180407291,0.7142857142857143,5,0.3178376912132551,0.40243581217536184,0.05406805888365967,0.427443933723878,False,
155,A5,9,0.00860573642430739,0.007687572415733447,0.6666666666666666,6,0.19929767033350812,0.6313267808501488,0.5692081449158257,0.7322170058355929,False,
156,A5,7,0.3055490978397386,0.11079628363726333,0.7142857142857143,5,-0.17423415758024113,0.5901897059402736,0.28700577336078437,0.7129942266392156,False,
157,A5,10,-0.03103004047810208,0.003475030550606769,0.5,5,-0.22592934542942406,0.4529075315882005,0.2198393129852294,0.4857181840054926,False,
158,A5,10,-0.035289786610994904,-0.033464941019795164,0.6,6,0.3168404186874494,0.47842629676316784,0.3204207838036669,0.5394085555584766,False,
159,A5,8,0.058214122766000395,0.005777799109684624,0.625,5,-0.029791126551626898,0.39699368216130887,0.1800877344547509,0.26679901122248767,False,
160,A5,10,0.009513016800362156,-0.020056106474602715,0.6,6,0.0754220668969759,0.7062438640990839,0.5714820719872482,0.9762348366535535,False,
